Beschouwd Jaar;Beroepsklasse;Leeftijdsklasse;Aantal validen;Verzekerde rente in euro's;Som uitkeringspercentage met ziektedatum in de eerste 9 maanden van jaar t
2011;6;46 tm 50;8751;176189189;7695
2011;6;51 tm 55;6457;146501187;5325
2011;6;56 tm 60;4925;68785885;5018
2011;6;61 tot 65;615;9124922;285
2012;1;15 tm 25;407;7822158;380
2012;1;26 tm 30;2061;33655921;59
2012;1;31 tm 35;5742;166078606;2616
2012;1;36 tm 40;6914;266844436;3779
2012;1;41 tm 45;8189;249596308;2548
2012;1;46 tm 50;5370;255279284;4345
2012;1;51 tm 55;6667;171924042;4532
2012;1;56 tm 60;3336;122923253;3301
2012;1;61 tot 65;293;9483782;391
2012;2;15 tm 25;480;14233563;0
2012;2;26 tm 30;1703;34531588;1534
2012;2;31 tm 35;4379;93841376;2404
2012;2;36 tm 40;5642;203899314;5413
2012;2;41 tm 45;7954;233085284;5363
2012;2;46 tm 50;5779;210459392;4371
2012;2;51 tm 55;4520;121769200;6572
2012;2;56 tm 60;2672;95812479;3903
2012;2;61 tot 65;435;7215210;609
2012;3;15 tm 25;3139;40484237;1201
2012;3;26 tm 30;7735;93471504;5063
2012;3;31 tm 35;9113;215700823;8966
2012;3;36 tm 40;20900;394371983;15407
2012;3;41 tm 45;15425;332794340;21662
2012;3;46 tm 50;19700;423789546;23969
2012;3;51 tm 55;11734;312783938;12596
2012;3;56 tm 60;7464;112139630;12667
2012;3;61 tot 65;755;9857987;1501
2012;4;15 tm 25;2278;39153883;2234
2012;4;26 tm 30;5621;135263201;2359
2012;4;31 tm 35;10925;224536224;11738
2012;4;36 tm 40;9070;307949972;12484
2012;4;41 tm 45;10015;226203261;14040
2012;4;46 tm 50;5633;160310575;9900
2012;4;51 tm 55;5471;114250716;6797
2012;4;56 tm 60;4520;70247126;7083
2012;4;61 tot 65;617;8001475;687
2012;5;15 tm 25;1678;46518798;968
2012;5;26 tm 30;3887;125489123;6580
2012;5;31 tm 35;7551;176124008;13824
2012;5;36 tm 40;9728;147875525;10595
2012;5;41 tm 45;9182;164240581;12000
2012;5;46 tm 50;7088;123446953;10067
2012;5;51 tm 55;3857;99408334;7731
2012;5;56 tm 60;2084;55469286;4156
2012;5;61 tot 65;263;3891665;846
2012;6;15 tm 25;217;5529673;405
2012;6;26 tm 30;2064;33944216;1081
2012;6;31 tm 35;5478;104615345;3381
2012;6;36 tm 40;8982;197969146;6220
2012;6;41 tm 45;10453;216534728;6327
2012;6;46 tm 50;5227;162040179;7503
2012;6;51 tm 55;4549;112455695;8810
2012;6;56 tm 60;3715;81669969;4867
2012;6;61 tot 65;463;9229369;730
2013;1;15 tm 25;285;7336215;391
2013;1;26 tm 30;1879;35341813;816
2013;1;31 tm 35;5698;119194405;3385
2013;1;36 tm 40;7092;344750347;4200
2013;1;41 tm 45;10434;229005945;4889
2013;1;46 tm 50;6816;247896382;4812
2013;1;51 tm 55;6658;237220737;3093
2013;1;56 tm 60;3598;125650480;2854
2013;1;61 tot 65;419;11974186;561
2013;2;15 tm 25;521;9212007;197
2013;2;26 tm 30;1956;46328105;2156
2013;2;31 tm 35;5147;113917723;1909
2013;2;36 tm 40;7830;192222631;5014
2013;2;41 tm 45;8143;146828543;5206
2013;2;46 tm 50;6267;126653608;6735
2013;2;51 tm 55;3545;160692303;5567
2013;2;56 tm 60;2850;68859709;4806
2013;2;61 tot 65;538;6934089;364
